,Title,Date,Time,Score,Number of Comments
242,GAO launches probe of Trump transition,2017-04-13,23:04:14,3705,158
243,"Dems push for Jared Kushner to lose security clearance after hiding Russia meeting, hint at felony",2017-04-14,14:25:28,214,16
244,Trump no longer plans to eliminate the national debt,2017-04-14,08:37:21,593,67
245,Howard Stern: Sean Spicer Speaks Fluent Moron,2017-04-14,05:16:15,1017,61
246,64% of Republicans want to see Trumps tax returns,2017-04-13,20:12:35,6454,243
247,Trump CIA Boss: WikiLeaks Is a Russian Tool,2017-04-14,00:06:00,2613,142
248,GOP governor absurdly claims voting hours should be cut so media can report results before bedtime,2017-04-14,00:39:02,2322,145
249,Republicans Love the Same Attack on Syria They Hated When Obama Considered It,2017-04-14,00:55:57,2127,136
250,Trumps Tweets About North Korea Are Making Bad Matters Worse,2017-04-14,16:44:16,117,14
251,CNNs Jeffrey Lord called Trump the MLK of health care. He then had a very long day,2017-04-14,15:29:21,147,17
252,"Former Trump adviser Carter Page held strong pro-Kremlin views, says ex-boss",2017-04-14,10:19:48,355,8
253,GOP rep: Bullcrap to say taxpayers pay my salary,2017-04-13,17:14:28,20672,2253
254,"I voted for Trump. After the Syria strikes, Im second-guessing my choice.",2017-04-14,17:12:06,93,51
255,"Behind closed doors, Trump signs bill allowing states to strip federal family planning dollars from abortion providers",2017-04-13,21:38:16,3737,443
256,Secret Service costs for Trump family protection continue to mount,2017-04-14,14:31:09,152,7
257,Pelosi calls for immediate Congressional scrutiny after saber-rattling on North Korea,2017-04-14,04:44:51,913,86
258,Audience Laughs as Kellyanne Conway Complains About Liars,2017-04-13,19:42:04,5721,383
259,Trumps Reversals Come After Crash Course on the Issues,2017-04-14,17:39:14,82,18
260,Why an independent counsel is necessary in election probe,2017-04-14,16:28:52,107,4
261,Warren demands explanation after MOAB strike,2017-04-14,17:38:19,81,39
262,"While the U.S. wasnt looking, Russia and Iran began carving out a bigger role in Afghanistan",2017-04-14,17:34:40,83,12
263,Trumps pledge to allow political action from churches may come in tax bill,2017-04-14,16:36:51,93,54
264,Trumps Policies Are Already Making Workplaces More Toxic,2017-04-14,15:41:01,110,10
265,How the Bible Belt lost God and found Trump,2017-04-14,04:54:12,801,147
266,A complete waste: What Trump said about war in Afghanistan before he dropped the $16m Mother of all Bombs,2017-04-14,02:50:46,1116,86
267,Muslim woman stabbed and beaten after attacker tries to tear off her hijab,2017-04-14,13:23:43,159,19
268,Science is under threat from Trump era politics,2017-04-14,17:01:36,78,8
269,Trumps EPA chief Scott Pruitt calls for an exit to the Paris climate agreement,2017-04-14,18:19:54,64,4
270,Ex-Trump aide: Something may have come up with Russians about lifting US sanctions,2017-04-13,17:21:27,8434,498
271,"GOP senator faces town hall anger over Supreme Court, healthcare",2017-04-14,17:29:30,78,4
272,Trump-linked businesses loaned $13M to shell corporation Paul Manafort created on day he left campaign,2017-04-13,15:13:44,33862,2457
273,Trump signs law that allows states to deny funding to Planned Parenthood,2017-04-14,14:56:40,111,17
274,Report: White House Mulls Sending Thousands of U.S. Ground Troops Into Syria,2017-04-14,03:10:26,929,194
275,"Expert who called Trumps election win, now predicts impeachment",2017-04-13,22:53:41,2051,176
276,Carter Page Now Says Sanctions May Have Come Up During Russia Trip,2017-04-13,17:59:33,5577,282
277,Roger Stone gets his facts from the National Enquirer,2017-04-14,01:21:49,1207,52
278,Donald Trump Is Just George W. Bush But Racist,2017-04-14,18:24:31,50,23
279,President Trump changes stance on 4 campaign positions in just 1 day,2017-04-14,16:42:06,74,5
280,British spies were first to spot Trump teams links with Russia,2017-04-13,17:42:49,5584,545
